Puesto_de_Trabajo,Salario_Promedio_USD,Años_de_Experiencia,Nivel_Educativo,Indice_Exposicion_IA,Factor_Crecimiento_Tecnologico,Probabilidad_Automatizacion_2030,Categoria_Riesgo,Habilidad_1,Habilidad_2,Habilidad_3,Habilidad_4,Habilidad_5,Habilidad_6,Habilidad_7,Habilidad_8,Habilidad_9,Habilidad_10
Conductor de Camión,144507,9,Bachillerato,0.56,1.09,0.79,Alto,0.28,0.27,0.17,0.33,0.2,0.63,0.57,0.38,0.33,0.24
Diseñador Gráfico,147679,29,Maestría,0.92,1.19,0.6,Medio,0.83,0.35,0.06,0.62,0.19,0.57,0.74,0.78,0.3,0.51
Científico Investigador,132811,12,Maestría,0.82,1.26,0.3,Bajo,0.01,0.44,0.26,0.12,0.91,1.0,0.18,0.04,0.28,0.83
Investigador UX,54940,26,Maestría,0.06,0.55,0.47,Medio,0.93,0.29,0.43,0.1,0.49,0.7,0.27,0.3,0.84,0.01
Ingeniero de Software,144326,14,Doctorado,0.39,0.8,0.56,Medio,0.83,0.56,0.03,0.46,0.46,0.54,0.67,0.02,0.5,0.59
Enfermero/a,30511,18,Maestría,0.67,0.73,0.13,Bajo,0.96,0.35,0.35,0.6,0.97,0.98,0.58,0.0,0.9,0.57
Ingeniero de Software,49359,26,Licenciatura,0.9,0.77,0.41,Medio,0.3,0.61,0.44,0.73,0.89,0.67,0.2,0.93,0.26,0.15
Mecánico,36265,15,Bachillerato,0.56,0.61,0.36,Medio,0.3,0.28,0.6,0.82,0.76,0.26,0.25,0.97,0.01,0.88
Abogado,122313,25,Maestría,0.95,0.84,0.48,Medio,0.71,0.59,0.32,0.55,0.73,0.04,0.01,0.46,0.13,0.66
Chef,39280,1,Doctorado,0.43,0.7,0.52,Medio,0.12,0.02,0.05,0.95,0.14,0.71,0.07,0.11,0.51,0.46
Obrero de Construcción,80281,26,Licenciatura,0.94,1.28,0.85,Alto,0.45,0.36,0.95,0.6,0.58,0.23,0.05,0.95,0.31,0.44
Investigador UX,98354,16,Bachillerato,0.84,0.53,0.63,Medio,0.14,0.89,0.73,0.16,0.57,0.31,0.18,0.86,0.4,0.4
Analista Financiero,140951,11,Bachillerato,0.38,1.37,0.45,Medio,0.95,0.95,0.14,0.18,0.86,0.39,0.0,0.27,0.6,0.8
Trabajador de Comercio,145131,22,Maestría,0.11,1.42,0.89,Alto,0.59,0.77,0.43,0.76,0.37,0.24,0.73,0.42,0.98,0.35
Enfermero/a,51529,7,Licenciatura,0.93,0.74,0.25,Bajo,0.43,0.92,0.45,0.74,0.47,0.23,0.2,0.43,0.76,0.61
Trabajador de Comercio,30594,25,Maestría,0.28,0.98,0.71,Alto,0.82,0.99,0.41,0.01,0.17,0.65,0.61,0.79,0.25,0.76
Trabajador de Comercio,142770,22,Maestría,0.32,1.05,0.74,Alto,0.45,0.88,0.42,0.84,0.59,0.19,0.58,0.51,0.4,0.12
Gerente de Marketing,122995,5,Bachillerato,0.07,0.6,0.47,Medio,0.31,0.93,0.38,0.76,0.53,0.7,0.26,0.94,0.53,0.83
Científico Investigador,137126,7,Maestría,0.1,1.17,0.05,Bajo,0.48,0.19,0.63,0.98,0.46,0.82,0.51,0.5,0.93,0.89
Soporte al Cliente,44372,26,Licenciatura,0.12,0.8,0.94,Alto,0.63,0.55,0.71,0.42,0.76,0.39,0.83,0.27,0.28,0.52
Enfermero/a,53795,7,Maestría,0.65,0.86,0.11,Bajo,0.47,0.56,0.14,0.56,0.32,0.39,0.28,0.93,0.68,0.26
Guardia de Seguridad,80697,15,Licenciatura,0.85,0.9,0.91,Alto,0.15,0.82,0.54,0.22,0.41,0.99,0.78,0.58,0.12,0.42
Diseñador Gráfico,118078,13,Doctorado,0.07,1.04,0.66,Medio,0.68,0.25,0.57,0.94,0.72,0.69,0.97,0.8,0.14,0.35
Enfermero/a,125773,28,Maestría,0.49,0.61,0.16,Bajo,0.7,1.0,0.32,0.51,0.88,0.36,0.11,0.95,0.49,0.5
Científico de Datos,93766,10,Doctorado,0.0,1.43,0.44,Medio,0.4,0.17,0.38,0.8,0.8,0.94,0.4,0.71,0.51,0.8
Conductor de Camión,105569,0,Licenciatura,0.37,0.84,0.76,Alto,0.58,0.96,0.2,0.1,0.12,0.78,0.35,0.22,0.35,0.65
Maestro,45782,19,Licenciatura,0.74,0.84,0.16,Bajo,0.1,0.07,0.46,0.3,0.61,0.04,0.12,0.87,0.57,0.71
Obrero de Construcción,127288,12,Bachillerato,0.46,1.26,0.83,Alto,0.22,0.34,0.49,0.32,0.34,0.34,0.12,0.08,0.05,0.11
Guardia de Seguridad,107865,2,Maestría,0.59,0.69,0.92,Alto,0.81,0.52,0.72,0.37,0.04,0.9,0.13,0.95,0.57,0.31
Ingeniero de IA,75986,27,Doctorado,0.5,0.52,0.14,Bajo,0.74,0.51,0.24,0.34,0.86,0.53,0.53,0.96,0.32,0.48
Especialista en RRHH,60276,19,Maestría,0.76,0.77,0.36,Medio,0.7,0.26,0.92,0.13,0.32,0.05,0.7,0.89,0.64,0.94
Analista Financiero,137294,2,Bachillerato,0.09,1.34,0.64,Medio,0.83,0.8,0.36,0.22,0.93,0.31,0.4,0.7,0.29,0.82
Diseñador Gráfico,147272,3,Doctorado,0.79,1.1,0.53,Medio,0.46,0.28,0.46,0.45,0.58,0.28,0.08,0.15,0.7,0.02
Mecánico,45819,24,Doctorado,0.62,0.98,0.46,Medio,0.99,0.82,0.43,0.73,0.27,0.1,0.35,0.4,0.02,0.81
Ingeniero de IA,36473,18,Licenciatura,0.58,0.57,0.09,Bajo,0.89,0.61,0.95,1.0,0.37,0.3,0.86,1.0,0.63,0.8
Trabajador de Comercio,62556,27,Maestría,0.36,1.07,0.91,Alto,0.69,0.02,0.34,0.14,0.23,0.91,0.04,0.22,0.31,0.62
Científico Investigador,88209,7,Licenciatura,0.22,0.66,0.11,Bajo,0.5,0.27,0.95,0.46,0.06,0.73,0.33,0.65,0.28,0.57
Abogado,147067,23,Doctorado,0.93,0.76,0.43,Medio,0.46,0.93,0.9,0.09,0.13,0.5,0.11,0.35,0.15,0.64
Abogado,38699,3,Bachillerato,1.0,0.88,0.54,Medio,0.86,0.12,0.69,0.41,0.21,0.4,0.08,0.7,0.25,0.31
Científico de Datos,107593,25,Maestría,0.86,0.99,0.53,Medio,0.57,0.41,0.19,0.75,0.13,0.1,0.71,0.21,0.31,0.48
Guardia de Seguridad,75076,18,Doctorado,0.71,1.12,0.86,Alto,0.71,0.29,0.32,0.44,0.31,0.98,0.81,0.16,0.01,0.04
Ingeniero de Software,91743,6,Licenciatura,0.11,1.03,0.64,Medio,0.74,0.22,0.4,0.51,0.81,0.84,0.91,0.51,0.69,0.11
Diseñador Gráfico,80924,10,Doctorado,0.25,0.93,0.55,Medio,0.26,0.05,0.01,0.02,0.01,0.11,0.24,0.22,0.99,0.31
Científico Investigador,72500,19,Doctorado,0.55,1.36,0.22,Bajo,0.3,0.56,0.71,0.73,0.67,0.87,0.87,0.58,0.43,0.64
Científico de Datos,52380,16,Doctorado,0.01,1.49,0.37,Medio,0.47,0.87,0.23,0.48,0.13,0.4,0.18,0.36,0.37,0.99
Diseñador Gráfico,34355,5,Licenciatura,0.11,1.23,0.32,Medio,0.03,0.11,0.97,0.94,0.19,0.16,0.24,0.52,0.57,0.22
Investigador UX,32035,15,Maestría,0.31,1.42,0.56,Medio,0.44,0.79,0.82,0.29,0.34,0.94,0.16,0.04,0.45,0.8
Especialista en RRHH,32665,17,Doctorado,0.92,1.03,0.34,Medio,0.59,0.78,0.09,0.17,0.01,0.59,0.89,0.67,0.98,0.06
Analista Financiero,100739,14,Licenciatura,0.81,0.81,0.69,Medio,0.29,0.89,0.88,0.76,0.56,0.12,0.53,0.36,0.79,0.76
Médico,128560,24,Maestría,0.71,0.98,0.2,Bajo,0.99,0.6,0.79,0.73,0.7,0.72,0.45,0.47,0.47,0.03
Científico de Datos,59974,11,Maestría,0.15,1.39,0.41,Medio,0.14,0.12,0.7,0.01,0.47,0.12,0.85,0.96,0.96,0.44
Maestro,90521,1,Bachillerato,0.6,0.85,0.16,Bajo,0.06,0.8,0.24,0.46,0.48,0.56,0.82,0.69,0.66,0.53
Ingeniero de Software,66476,11,Maestría,0.4,1.46,0.7,Medio,0.73,0.23,0.1,0.41,0.86,0.72,0.88,0.62,0.13,0.11
Ingeniero de Software,82271,11,Doctorado,0.24,1.23,0.57,Medio,0.32,0.18,0.1,0.74,0.45,0.32,0.86,0.59,0.52,0.74
Chef,33743,23,Maestría,0.69,0.94,0.45,Medio,0.77,0.52,0.7,0.89,0.92,0.28,0.19,0.26,0.75,0.37
Gerente de Marketing,111256,7,Doctorado,0.1,0.83,0.35,Medio,0.16,0.68,0.02,0.12,0.84,0.84,0.33,0.09,0.7,0.36
Ingeniero de Software,132859,26,Maestría,0.16,0.64,0.54,Medio,0.9,0.79,0.55,0.42,0.62,0.44,0.25,0.68,0.87,0.37
Ingeniero de IA,99810,10,Bachillerato,0.43,0.9,0.06,Bajo,0.7,0.81,0.66,0.15,0.1,0.57,0.4,0.43,0.97,0.72
Investigador UX,90360,6,Maestría,0.02,0.53,0.57,Medio,0.84,0.71,0.41,0.03,0.97,0.99,0.55,0.07,0.54,0.89
Ingeniero de IA,130290,4,Bachillerato,0.72,0.58,0.08,Bajo,0.13,0.9,0.53,0.79,0.12,0.93,0.82,0.22,0.87,0.26
Soporte al Cliente,105656,22,Licenciatura,0.84,0.67,0.72,Alto,0.4,0.58,0.85,0.97,0.44,0.06,0.75,0.57,0.45,0.31
Médico,107982,0,Maestría,0.34,1.26,0.19,Bajo,0.88,0.54,0.24,0.85,0.56,0.21,0.62,0.36,0.84,0.45
Gerente de Marketing,33970,13,Doctorado,0.1,0.9,0.69,Medio,0.81,0.16,0.28,0.33,0.65,0.76,0.75,0.51,0.81,0.44
Conductor de Camión,71753,26,Doctorado,0.56,1.45,0.9,Alto,0.58,0.65,0.93,0.43,0.33,0.98,0.86,0.32,0.46,0.42
Diseñador Gráfico,104354,6,Maestría,0.96,0.9,0.65,Medio,0.19,0.55,0.02,0.76,0.58,0.63,0.05,0.21,0.07,0.29
Obrero de Construcción,35280,20,Licenciatura,0.44,0.75,0.89,Alto,0.63,0.77,0.32,0.74,0.86,0.35,0.34,0.9,0.05,0.35
Científico Investigador,116545,27,Licenciatura,0.03,0.61,0.16,Bajo,0.69,0.29,0.85,0.44,0.97,0.95,0.77,0.93,0.71,0.9
Ingeniero de IA,131041,12,Licenciatura,0.35,1.25,0.16,Bajo,0.84,0.88,0.3,0.82,0.15,0.33,0.52,0.23,0.58,0.58
Ingeniero de Software,134087,23,Licenciatura,0.8,1.13,0.43,Medio,0.23,0.88,0.84,0.23,0.04,0.8,0.62,0.1,0.59,0.45
Ingeniero de IA,90985,20,Doctorado,0.21,0.95,0.09,Bajo,0.96,0.78,0.74,0.69,0.42,0.92,0.07,0.8,0.22,0.32
Conductor de Camión,118257,6,Licenciatura,0.78,1.34,0.85,Alto,0.4,0.95,0.25,0.8,0.61,0.38,0.0,0.45,0.28,0.1
Maestro,134294,23,Licenciatura,0.35,1.11,0.26,Bajo,0.18,0.42,0.39,0.51,0.81,0.55,0.85,0.52,0.6,0.44
Abogado,55666,18,Licenciatura,0.92,1.14,0.63,Medio,0.06,0.91,0.19,0.26,0.05,0.97,0.85,0.91,0.85,0.48
Guardia de Seguridad,71516,25,Bachillerato,0.97,1.0,0.74,Alto,0.66,0.98,0.87,0.86,0.93,0.89,0.78,0.72,0.26,0.62
Enfermero/a,48226,18,Licenciatura,0.86,0.99,0.08,Bajo,0.0,0.68,0.55,0.33,0.17,0.47,0.1,0.34,0.38,0.47
Ingeniero de IA,60011,16,Maestría,0.26,1.35,0.14,Bajo,0.23,0.18,0.32,0.07,0.03,0.61,0.62,0.53,0.76,0.04
Chef,136979,15,Maestría,0.86,1.43,0.34,Medio,0.11,0.03,0.1,0.21,0.97,0.67,0.78,0.78,0.54,0.8
Obrero de Construcción,85215,21,Licenciatura,0.31,1.06,0.83,Alto,0.82,0.98,0.41,0.76,0.1,0.78,0.37,0.04,0.36,0.61
Ingeniero de Software,107255,21,Licenciatura,0.92,0.58,0.67,Medio,0.71,0.33,0.39,0.74,0.6,0.67,0.39,0.49,0.99,0.21
Trabajador de Comercio,70821,27,Bachillerato,0.29,1.27,0.89,Alto,0.29,0.08,0.01,0.43,0.41,0.99,0.47,0.26,0.89,0.49
Soporte al Cliente,133185,18,Maestría,0.1,0.88,0.94,Alto,0.59,0.34,0.63,0.91,0.27,0.51,0.96,0.17,0.72,0.61
Obrero de Construcción,107929,6,Maestría,0.35,0.81,0.87,Alto,0.22,0.42,0.19,0.01,0.97,0.43,0.97,0.14,0.59,0.2
Guardia de Seguridad,49523,29,Maestría,0.58,1.2,0.86,Alto,0.05,0.1,0.13,0.09,0.18,0.69,0.83,0.41,0.69,0.2
Obrero de Construcción,88188,24,Bachillerato,0.35,1.35,0.94,Alto,0.86,0.07,0.65,0.12,0.01,0.05,0.92,0.91,0.23,0.55
Médico,77969,6,Licenciatura,0.5,0.89,0.17,Bajo,0.79,0.48,0.78,0.43,0.25,0.33,0.08,0.5,0.15,0.81
Abogado,149528,12,Maestría,0.77,1.45,0.64,Medio,0.95,0.57,0.17,0.94,0.87,0.86,0.69,0.62,0.01,0.75
Abogado,85416,27,Bachillerato,0.26,1.05,0.48,Medio,0.02,0.82,0.88,0.68,0.54,0.96,0.12,0.74,0.13,0.38
Ingeniero de IA,50491,14,Bachillerato,0.74,0.5,0.12,Bajo,0.54,0.53,0.64,0.3,0.54,0.19,0.19,0.58,0.69,0.12
Especialista en RRHH,105955,11,Licenciatura,0.57,0.77,0.46,Medio,0.4,0.18,0.0,0.85,0.72,0.69,0.55,0.7,0.94,0.67
Especialista en RRHH,97519,26,Bachillerato,0.57,0.94,0.52,Medio,0.52,0.86,0.65,0.19,0.06,0.42,0.02,0.32,0.37,0.38
Científico de Datos,74775,17,Doctorado,0.3,0.77,0.35,Medio,0.51,0.15,0.62,0.16,0.58,0.83,0.04,0.42,0.46,0.79
Médico,116437,21,Doctorado,0.57,1.29,0.19,Bajo,0.36,0.09,0.73,0.87,0.97,0.93,0.8,0.64,0.78,0.43
Ingeniero de IA,112201,21,Licenciatura,0.35,0.83,0.24,Bajo,0.45,0.21,0.2,0.86,0.68,0.55,0.4,0.43,0.06,0.45
Enfermero/a,91134,17,Licenciatura,0.39,0.88,0.05,Bajo,0.46,0.03,0.57,0.51,0.84,0.58,0.32,0.52,0.7,0.09
Científico de Datos,76647,22,Doctorado,0.92,0.8,0.55,Medio,0.82,0.51,0.72,0.31,0.31,0.67,0.71,0.94,0.22,0.47
Ingeniero de IA,138197,12,Licenciatura,0.08,0.9,0.14,Bajo,0.27,0.3,0.36,0.99,0.78,0.07,0.87,0.63,0.89,0.34
Abogado,76413,18,Licenciatura,0.9,0.77,0.67,Medio,0.83,0.98,0.32,0.24,0.33,0.95,0.33,0.57,0.4,0.4
Ingeniero de IA,112604,20,Licenciatura,0.54,1.35,0.06,Bajo,0.89,0.67,0.62,0.63,0.3,0.42,0.8,0.31,0.47,0.02
Ingeniero de IA,61478,7,Licenciatura,0.42,1.03,0.08,Bajo,0.99,0.3,0.63,0.58,0.79,0.29,0.76,0.38,0.41,0.67
Guardia de Seguridad,92402,27,Bachillerato,0.67,1.4,0.77,Alto,0.9,0.13,0.66,0.55,0.49,0.31,0.5,0.16,0.37,0.1
Especialista en RRHH,65319,18,Bachillerato,0.1,0.66,0.33,Medio,0.38,0.84,0.91,0.07,0.63,0.68,0.53,0.67,0.23,0.49
Trabajador de Comercio,58830,28,Doctorado,0.09,1.13,0.82,Alto,0.28,0.47,0.78,0.8,0.65,0.47,0.58,0.39,0.13,0.39
Ingeniero de IA,59328,16,Licenciatura,0.9,1.37,0.27,Bajo,0.27,0.03,0.26,0.28,0.91,0.65,0.08,0.14,0.16,0.63
Maestro,36123,21,Bachillerato,0.86,1.44,0.1,Bajo,0.31,0.24,0.36,0.91,0.58,0.74,0.49,0.03,0.06,0.54
Diseñador Gráfico,66587,4,Bachillerato,0.22,1.22,0.62,Medio,0.41,0.75,0.4,0.68,0.76,0.99,0.35,0.41,0.17,0.2
Científico de Datos,51951,7,Licenciatura,0.58,0.57,0.32,Medio,0.06,0.94,0.85,0.84,0.92,0.51,0.25,0.4,0.72,0.88
Trabajador de Comercio,37804,10,Licenciatura,0.45,0.85,0.91,Alto,0.76,0.32,0.1,0.07,0.09,0.58,0.05,0.34,0.75,0.29
Guardia de Seguridad,40349,7,Bachillerato,0.75,0.75,0.88,Alto,0.75,0.4,0.21,0.52,0.92,0.64,0.17,0.68,0.43,0.59
Científico de Datos,136203,9,Doctorado,0.51,1.31,0.59,Medio,0.62,0.15,0.84,0.94,0.14,0.49,0.26,0.75,0.72,0.14
Mecánico,86317,10,Licenciatura,0.18,1.3,0.48,Medio,0.33,0.16,0.17,0.66,0.55,0.12,0.11,0.07,0.74,0.71
Enfermero/a,117385,11,Bachillerato,0.56,0.58,0.28,Bajo,0.91,0.7,0.93,0.81,0.83,0.57,0.31,0.22,0.33,0.63
Abogado,109841,8,Doctorado,0.26,0.97,0.39,Medio,0.59,0.92,0.75,0.67,0.58,0.49,0.19,0.89,0.25,0.09
Enfermero/a,95197,6,Bachillerato,0.18,0.87,0.06,Bajo,0.14,0.17,0.05,0.66,0.84,0.37,0.87,0.21,0.33,0.15
Especialista en RRHH,93410,4,Maestría,0.42,1.11,0.6,Medio,0.55,0.63,0.94,0.3,0.36,0.72,0.61,0.18,0.38,0.47
Chef,104225,17,Bachillerato,0.18,1.42,0.6,Medio,0.48,0.68,0.9,0.14,0.25,0.54,0.8,0.04,0.98,0.45
Ingeniero de IA,67499,1,Maestría,0.29,0.67,0.25,Bajo,0.96,0.41,0.95,0.82,0.48,0.67,0.43,0.56,0.06,0.7
Mecánico,130537,23,Licenciatura,0.16,1.09,0.66,Medio,0.11,0.47,0.75,0.61,0.1,0.4,0.51,1.0,0.18,0.98
Trabajador de Comercio,118627,16,Bachillerato,0.2,0.91,0.85,Alto,0.21,0.29,0.85,1.0,0.32,0.15,0.79,0.6,0.1,0.95
Ingeniero de Software,99074,21,Maestría,0.63,0.92,0.52,Medio,0.21,0.69,0.96,0.46,0.52,0.24,0.89,0.97,0.79,0.54
Especialista en RRHH,71716,0,Licenciatura,0.15,0.98,0.52,Medio,0.49,0.8,0.67,0.13,0.35,0.34,0.57,0.29,0.12,0.65
Maestro,132033,21,Doctorado,0.93,1.47,0.25,Bajo,0.14,0.85,0.4,0.73,0.53,0.83,0.43,0.06,0.56,0.17
Médico,40715,11,Maestría,0.53,1.05,0.28,Bajo,0.62,0.3,0.3,0.5,0.87,0.79,0.96,0.07,0.27,0.08
Científico Investigador,77553,23,Doctorado,0.14,0.6,0.19,Bajo,0.41,0.72,0.49,0.43,0.43,0.87,0.4,0.33,0.34,0.2
Analista Financiero,36861,14,Maestría,0.15,1.41,0.41,Medio,0.9,0.79,0.58,0.67,0.33,0.57,0.29,0.4,0.76,0.24
Ingeniero de Software,70154,27,Doctorado,0.38,1.03,0.68,Medio,0.68,0.65,0.71,0.92,0.25,0.61,0.4,0.01,0.13,0.32
Obrero de Construcción,93576,13,Bachillerato,0.82,1.03,0.78,Alto,0.66,0.72,0.56,0.06,0.17,0.29,0.28,0.67,0.02,0.76
Maestro,127294,11,Doctorado,0.31,1.03,0.1,Bajo,0.88,0.09,0.44,0.85,0.62,0.29,0.42,0.71,0.97,0.89
Abogado,139875,5,Licenciatura,1.0,0.5,0.31,Medio,0.82,0.2,0.06,0.24,0.43,0.73,0.62,0.24,0.5,0.93
Guardia de Seguridad,52925,15,Bachillerato,0.32,1.48,0.88,Alto,0.06,0.04,0.17,0.73,0.18,0.51,0.09,0.92,0.34,0.91
Maestro,119779,1,Licenciatura,0.01,0.96,0.06,Bajo,0.91,0.52,0.07,0.11,0.38,0.94,0.69,0.87,0.37,0.04
Maestro,87702,15,Doctorado,0.02,1.45,0.14,Bajo,0.01,0.69,0.98,0.97,0.16,0.18,0.57,0.64,0.74,0.18
Científico de Datos,127556,8,Bachillerato,0.64,1.35,0.52,Medio,0.41,0.98,0.58,0.87,0.95,0.68,0.55,0.0,0.04,0.2
Científico Investigador,46289,22,Maestría,0.25,0.8,0.14,Bajo,0.42,0.1,0.04,0.67,0.54,0.44,0.63,0.83,0.43,0.64
Trabajador de Comercio,115823,29,Maestría,0.84,0.93,0.86,Alto,0.18,0.56,0.98,0.52,0.93,0.41,1.0,0.58,0.04,0.59
Obrero de Construcción,55966,27,Doctorado,0.03,1.32,0.77,Alto,0.8,0.29,0.19,0.97,0.36,0.6,0.61,0.56,0.91,0.67
Especialista en RRHH,98560,23,Licenciatura,0.86,0.68,0.52,Medio,0.95,0.63,0.82,0.65,0.84,0.94,0.27,0.17,0.48,0.7
Obrero de Construcción,109023,28,Licenciatura,0.0,0.84,0.94,Alto,0.69,0.4,0.19,0.36,0.17,0.11,0.91,1.0,0.16,0.05
Mecánico,112455,28,Doctorado,0.46,0.7,0.42,Medio,0.2,0.77,0.71,0.63,0.39,0.91,0.97,0.17,0.22,0.53
Guardia de Seguridad,42930,13,Licenciatura,0.44,1.08,0.83,Alto,0.33,0.54,0.96,0.21,0.65,0.04,0.07,0.55,0.1,0.02
Abogado,48065,14,Doctorado,0.56,1.2,0.38,Medio,0.67,0.18,0.61,0.41,0.65,1.0,0.94,0.0,0.89,0.07
Mecánico,86422,12,Licenciatura,0.28,0.88,0.34,Medio,0.11,0.73,0.94,0.61,0.72,0.76,0.26,0.05,0.0,0.35
Maestro,69305,21,Doctorado,0.06,0.68,0.08,Bajo,0.91,0.14,0.54,0.59,0.54,0.1,0.32,0.05,0.4,0.19
Soporte al Cliente,105355,9,Bachillerato,0.69,1.03,0.81,Alto,0.39,0.84,0.22,0.73,0.76,0.42,0.3,0.47,0.09,0.05
Guardia de Seguridad,31776,7,Licenciatura,0.19,1.0,0.91,Alto,0.24,0.94,0.95,0.96,0.84,0.36,0.07,0.57,0.56,0.85
Chef,113187,14,Licenciatura,0.51,0.85,0.37,Medio,0.0,0.51,0.56,0.82,0.5,0.92,0.63,0.84,0.15,0.86
Guardia de Seguridad,44937,26,Licenciatura,0.17,0.69,0.93,Alto,0.03,0.46,0.31,0.67,0.84,0.36,0.43,0.98,0.78,0.9
Trabajador de Comercio,77259,23,Maestría,0.23,0.91,0.88,Alto,0.11,0.27,0.05,0.43,0.83,0.02,0.68,0.93,0.24,0.69
Ingeniero de Software,48225,11,Bachillerato,0.96,0.73,0.34,Medio,0.15,0.7,0.73,0.67,0.34,0.17,0.58,0.48,0.73,0.44
Enfermero/a,101519,10,Bachillerato,0.29,0.71,0.12,Bajo,0.09,0.35,0.04,0.19,0.75,0.33,0.67,0.72,0.58,0.96
Diseñador Gráfico,100994,10,Maestría,0.74,1.46,0.64,Medio,0.17,0.33,0.17,0.6,0.71,0.32,0.54,0.69,0.42,0.85
Soporte al Cliente,49450,20,Doctorado,0.06,1.12,0.76,Alto,0.56,0.96,0.88,0.4,0.29,0.23,0.53,0.11,0.55,0.0
Diseñador Gráfico,148585,8,Licenciatura,0.22,1.47,0.59,Medio,0.35,0.09,0.52,0.21,0.54,0.84,0.62,0.63,0.54,0.93
Soporte al Cliente,106970,29,Doctorado,0.51,0.81,0.81,Alto,0.19,0.64,0.5,0.1,0.2,0.48,0.89,0.57,0.68,0.34
Soporte al Cliente,31112,25,Bachillerato,0.45,1.16,0.71,Alto,0.49,0.3,0.33,0.96,0.18,0.31,0.51,0.86,0.42,0.74
Científico Investigador,117351,15,Maestría,0.31,0.89,0.14,Bajo,0.83,0.04,0.31,0.68,0.57,0.44,0.54,0.2,0.43,0.5
Ingeniero de IA,51661,1,Licenciatura,0.26,1.37,0.21,Bajo,0.02,0.72,0.04,1.0,0.87,0.3,0.26,0.38,0.36,0.37
Diseñador Gráfico,67443,12,Doctorado,0.65,1.24,0.3,Bajo,0.63,0.59,0.54,0.79,0.56,0.86,0.23,0.81,0.18,0.81
Investigador UX,44234,4,Licenciatura,0.34,1.03,0.56,Medio,0.08,0.49,0.36,0.87,0.88,0.7,0.66,0.73,0.37,0.4
Ingeniero de Software,134383,0,Bachillerato,0.94,1.22,0.52,Medio,0.77,0.37,0.73,0.41,0.28,0.61,0.69,0.46,0.57,0.69
Guardia de Seguridad,72320,6,Bachillerato,0.9,0.85,0.94,Alto,0.64,0.79,0.7,0.21,0.07,0.73,0.51,0.7,0.48,0.31
Soporte al Cliente,91196,11,Licenciatura,0.73,0.78,0.88,Alto,0.38,0.77,0.14,0.2,0.69,0.56,0.2,0.9,0.28,0.42
Guardia de Seguridad,104861,0,Licenciatura,0.39,0.99,0.77,Alto,0.77,0.39,0.73,0.21,0.38,0.01,0.76,0.63,0.82,0.46
Especialista en RRHH,148169,20,Doctorado,0.65,0.5,0.4,Medio,0.49,0.62,0.07,0.71,0.54,0.53,0.29,0.59,0.03,0.06
Chef,89630,13,Bachillerato,0.32,0.85,0.38,Medio,0.45,0.05,0.3,0.53,0.47,1.0,0.39,0.39,0.5,0.19
Mecánico,127435,3,Doctorado,0.57,0.69,0.62,Medio,0.03,0.98,0.87,0.58,0.11,0.22,0.28,0.24,0.5,0.94
Mecánico,114845,4,Licenciatura,0.66,1.19,0.65,Medio,0.03,0.4,0.78,0.81,0.93,0.7,0.25,0.51,0.03,0.65
Especialista en RRHH,49053,28,Licenciatura,0.67,1.43,0.57,Medio,0.32,0.2,0.85,0.19,0.16,0.21,0.51,0.12,0.94,0.97
Enfermero/a,100683,3,Maestría,0.41,0.74,0.08,Bajo,0.86,0.56,0.86,0.83,0.28,0.55,0.08,0.92,0.4,0.39
Obrero de Construcción,120153,20,Licenciatura,0.46,0.75,0.79,Alto,0.8,0.83,0.3,0.47,0.87,0.05,0.89,0.22,0.68,0.58
Gerente de Marketing,129926,0,Bachillerato,0.86,0.6,0.44,Medio,0.54,0.81,0.22,0.8,0.4,0.19,0.76,0.09,0.51,0.06
Trabajador de Comercio,43140,13,Doctorado,0.6,1.06,0.8,Alto,0.43,0.23,0.46,0.95,0.85,0.15,0.03,0.93,0.53,0.54
Científico de Datos,104362,11,Doctorado,0.31,0.98,0.69,Medio,0.67,0.15,0.13,0.2,0.77,0.3,0.02,0.94,0.17,0.01
Analista Financiero,73030,5,Doctorado,0.24,0.92,0.67,Medio,0.88,0.46,0.41,0.56,0.24,0.05,0.94,0.19,0.2,0.47
Enfermero/a,54400,18,Doctorado,0.02,0.65,0.14,Bajo,0.68,0.23,0.42,0.56,0.89,0.33,0.13,0.49,0.75,0.11
Enfermero/a,33760,20,Doctorado,0.02,0.53,0.17,Bajo,0.3,0.85,0.6,0.45,0.41,0.5,0.04,0.89,1.0,0.18
Trabajador de Comercio,122930,21,Licenciatura,0.14,1.16,0.87,Alto,0.85,0.75,0.45,0.61,0.69,0.51,0.48,0.65,0.56,0.64
Especialista en RRHH,33323,29,Licenciatura,0.72,1.14,0.51,Medio,0.68,0.45,0.24,0.0,0.56,0.59,0.97,0.36,0.39,0.2
Abogado,65098,10,Doctorado,0.22,0.68,0.31,Medio,0.21,0.52,0.54,0.25,0.07,0.74,0.76,1.0,0.9,0.93
Chef,101153,11,Doctorado,0.62,0.63,0.55,Medio,0.06,0.89,0.48,0.7,0.05,0.53,0.3,0.28,0.39,0.0
Guardia de Seguridad,101279,14,Licenciatura,0.49,1.36,0.81,Alto,0.36,0.99,0.57,0.47,0.5,0.81,0.34,0.39,0.76,0.07
Científico de Datos,143115,0,Licenciatura,0.43,1.08,0.6,Medio,0.27,0.89,0.98,0.49,0.94,0.0,0.89,0.31,0.31,0.23
